Country	Value	Type
China	36384	Total Citations
India	6941	Total Citations
USA	6843	Total Citations
Korea	2663	Total Citations
Germany	151	Total Citations
Japan	1497	Total Citations
France	1201	Total Citations
Australia	1092	Total Citations
Spain	1012	Total Citations
Brazil	917	Total Citations
China	19.8	Average Article Citations
India	31.55	Average Article Citations
USA	64.56	Average Article Citations
Korea	32.48	Average Article Citations
Germany	55.93	Average Article Citations
Japan	88.06	Average Article Citations
France	54.59	Average Article Citations
Australia	49.64	Average Article Citations
Spain	44	Average Article Citations
Brazil	29.58	Average Article Citations
